condition,seed,iteration,best_combined_score
treatment,100,10,1.4828881924142594
treatment,100,5,1.4828881924142594
treatment,101,10,1.4583893024834764
treatment,101,5,1.242305086460021
treatment,102,10,1.4994787726439538
treatment,102,5,1.290908262824714
control,100,10,1.4739820746540118
control,100,5,1.4739820746540118
control,101,10,1.4795484235876706
control,101,5,1.4795484235876706
control,102,10,1.4862490742324383
control,102,5,1.4779253569293447
