condition,seed,iteration,best_combined_score
treatment,100,10,-4025.289747255554
treatment,100,5,-4025.289747255554
treatment,101,5,-3864.692881922222
treatment,102,5,-3857.7822746111106
control,100,5,-3860.350166277777
control,101,5,-3857.7822746111106
control,102,5,-3857.7822746111106
