condition,seed,iteration,best_combined_score
treatment,100,10,0.35162396453699074
treatment,100,5,0.3870777018341528
treatment,101,10,0.3859083786268599
treatment,101,5,0.3859083786268599
treatment,102,10,0.3655964849259017
treatment,102,5,0.3870777018341528
control,100,10,0.30682318571966916
control,100,5,0.38987798748202884
control,101,10,0.38987798748202884
control,101,5,0.38987798748202884
control,102,10,0.38987798748202884
control,102,5,0.38987798748202884
