condition,seed,iteration,best_combined_score
treatment_diff,200,20,0.7386172006745363
treatment_diff,200,30,0.7386172006745363
treatment_diff,200,40,0.7386172006745363
treatment_diff,200,50,0.7386172006745363
treatment_full,201,10,0.7386172006745363
treatment_full,201,20,0.7386172006745363
treatment_full,201,30,0.7386172006745363
treatment_full,201,40,0.7386172006745363
treatment_full,201,50,0.7386172006745363
treatment_full,200,10,0.4924114671163575
treatment_full,200,20,0.6795952782462057
treatment_full,200,30,0.6795952782462057
treatment_full,200,40,0.6795952782462057
treatment_full,200,50,0.7386172006745363
control_diff,202,10,0.7386172006745363
control_diff,202,20,0.7386172006745363
control_diff,202,30,0.7386172006745363
control_diff,202,40,0.7386172006745363
control_diff,202,50,0.7386172006745363
treatment_diff,201,10,0.4924114671163575
treatment_diff,201,20,0.7032040472175379
treatment_diff,201,30,0.7386172006745363
treatment_diff,201,50,0.7386172006745363
treatment_full,202,10,0.7386172006745363
treatment_full,202,20,0.7386172006745363
treatment_full,202,30,0.7386172006745363
treatment_full,202,40,0.7386172006745363
treatment_full,202,50,0.7386172006745363
control_diff,201,10,0.7386172006745363
control_diff,201,20,0.8195615514333895
control_diff,201,30,0.8195615514333895
control_diff,201,40,0.8195615514333895
control_diff,201,50,0.8195615514333895
treatment_diff,202,10,0.4924114671163575
treatment_diff,202,20,0.7386172006745363
treatment_diff,202,40,0.7386172006745363
treatment_diff,202,50,0.7386172006745363
control_full,201,10,0.7386172006745363
control_full,201,20,0.7386172006745363
control_full,201,30,0.7386172006745363
control_full,201,40,0.7386172006745363
control_full,201,50,0.7386172006745363
control_diff,200,10,0.7386172006745363
control_diff,200,20,0.7386172006745363
control_diff,200,30,0.7386172006745363
control_diff,200,40,0.7386172006745363
control_diff,200,50,0.7386172006745363
control_full,200,10,0.12478920741989882
control_full,200,20,0.4856661045531197
control_full,200,30,0.5750421585160203
control_full,200,40,0.7386172006745363
control_full,200,50,0.7386172006745363
control_full,202,10,0.12478920741989882
control_full,202,20,0.4856661045531197
control_full,202,30,0.7386172006745363
control_full,202,40,0.7386172006745363
control_full,202,50,0.7386172006745363
